"number","title","pageid","namespace","length","touched"
"216","Executive_president","594432","","7783","20211121132229"
"217","Yang_di-Pertuan_Besar","595539","","2453","20211214041757"
"218","Cosmopolitanism","599178","","47025","20220107100352"
"219","Kitchen_Debate","599634","","11957","20220122223654"
"220","Green_liberalism","602148","","13987","20211026080343"
"221","Community_politics","608461","","4751","20210617055533"
"222","Slavophilia","609466","","21361","20211214192634"
"223","Blue_Eagle_(National_Recovery_Administration)","612989","","124","20190428213318"
"224","Subjectivity","615724","","12741","20211215113928"
"225","Majoritarianism","617451","","10456","20211230132301"
"226","Party_system","620416","","30277","20220120043624"
"227","Small-c_conservative","623210","","1939","20210920221002"
"228","President_of_the_Council_of_Ministers","623765","","3493","20220101113748"
"229","Atlanticism","624968","","26522","20220105145251"
"230","Pirate_haven","625715","","6702","20211217192056"
"231","General_will","636147","","19901","20220110001118"
"232","Policy_analysis","639389","","30168","20211122180234"
"233","Theoreticism","645446","","1280","20170320081840"
"234","Chinese_New_Left","645713","","37739","20220109104503"
"235","Whiteness_studies","650704","","86168","20220110003915"
"236","Anti-incumbency","651934","","7637","20211216203109"
"237","Direct_election","652563","","1979","20211116132728"
"238","Governance","652849","","63510","20211228133751"
"239","Negative_campaigning","677516","","32757","20220116201817"
"240","Carlos_Latuff","685631","","25624","20220102220600"
"241","Mandala_(political_model)","690408","","19623","20211214103143"
"242","Exceptionalism","708258","","11797","20211003201237"
"243","Governmentality","711728","","53598","20210915205134"
"244","Political_argument","713877","","6609","20211115203535"
"245","Family_as_a_model_for_the_state","719365","","13914","20220117055558"
"246","Willis_Carto","723060","","19865","20211231182354"
"247","American_Free_Press","723088","","8092","20211223161001"
"248","Imagined_community","730821","","11460","20220112012709"
"249","Canvassing","731254","","31749","20211222084422"
"250","National_Socialist_Program","732620","","16589","20220116051027"
"251","Opposition_research","738199","","48606","20211218105841"
"252","Liberal_Republican_Party_(United_States)","742475","","30243","20220101194622"
"253","Dual_power","745163","","26229","20211023143929"
"254","Dependency_theory","747259","","51239","20211214231833"
"255","Number_of_Westminster_MPs","751597","","21007","20211209140857"
"256","Clinton_v._City_of_New_York","752054","","20175","20211125054445"
"257","Political_culture_of_Germany","758371","","2001","20210702193001"
"258","Social_liberalism","765430","","104314","20220123031523"
"259","Statolatry","771103","","2963","20211009013136"
"260","Secretary_of_State_for_Canada","774995","","21090","20200810063621"
"261","Minoritarianism","779833","","7675","20211229135210"
"262","Seventh_emergency_special_session_of_the_United_Nations_General_Assembly","781790","","887","20200626022819"
"263","President_pro_tempore","782032","","1970","20210416131324"
"264","Spin_room","804191","","7877","20210721135059"
"265","Get_out_the_vote","823320","","24295","20220118170753"
"266","Dalit_Kisan_Dal","827604","","923","20210418190006"
"267","Jantantrik_Bahujan_Samaj_Party","831882","","3106","20211214134817"
"268","Kisan_Mazdoor_Bahujan_Party","831919","","1009","20211214134815"
"269","Liberal_conservatism","841967","","55830","20220117210050"
"270","Political_crime","846426","","11287","20210823193501"
"271","Social_policy","852274","","16556","20211229023533"
"272","Anti-authoritarianism","867979","","11875","20211124213834"
"273","1975_Constitution_of_the_People's_Republic_of_China","875733","","2051","20210924224008"
"274","Political_drama","896220","","14060","20210916050446"
"275","Minister_Mentor","901588","","2604","20220109181410"
"276","Regional_policy","916257","","13602","20210617111925"
"277","List_of_peasant_revolts","942315","","62417","20220119220934"
"278","Corngate","947223","","5115","20211124230335"
"279","List_of_historical_separatist_movements","955626","","31726","20220106095040"
"280","Thick_line","962149","","2268","20190810020403"
"281","List_of_ideological_symbols","962547","","35941","20220109063435"
"282","Addis_Ababa_Agreement_(1972)","967690","","4284","20211130215510"
"283","Other_(philosophy)","972208","","41892","20211216004347"
"284","Political_organisation","976102","","4804","20210815042150"
"285","32_County_Sovereignty_Movement","980288","","16953","20220118112032"
"286","Cabinet_collective_responsibility","991646","","15677","20211110223706"
"287","Second_lady","994085","","6103","20211225140809"
"288","Centre_of_Communist_Revolutionaries_of_India","999438","","1170","20170820051141"
"289","Satiric_misspelling","999666","","26349","20220120165646"
"290","Pirate_utopia","1007621","","6426","20211010185820"
"291","Social_Credit_Party_of_Great_Britain_and_Northern_Ireland","1022773","","6390","20211202151415"
"292","Green_Shirt_Movement_for_Social_Credit","1022784","","105","20200213225203"
"293","Defeatism","1025190","","3850","20211106064947"
"294","Tribal_Youth_Federation","1030380","","6736","20211214134915"
"295","Liberum_veto","1032586","","23167","20210716020951"
"296","Adolf_Hitler_in_popular_culture","1034084","","74006","20220122111522"
"297","Karelian_question","1034502","","20340","20220116014953"
"298","Dates_of_establishment_of_diplomatic_relations_with_the_People's_Republic_of_China","1047759","","30755","20220122203750"
"299","Christian_existentialism","1068780","","14083","20211021010549"
"300","Silver_Legion_of_America","1070821","","13636","20220115233558"
"301","Raised_fist","1074597","","20601","20211229061527"
"302","Wag_the_dog","1077806","","6460","20211031013303"
"303","Polyarchy","1081047","","14318","20220116021250"
"304","Consent_of_the_governed","1096446","","15259","20211209175221"
"305","Flash_and_circle","1097149","","7105","20211219083605"
"306","Mizo_People's_Conference_(Progressive)","1098872","","690","20210312201919"
"307","Kisan_Vikas_Party","1098892","","575","20210406231706"
"308","Yuva_Janata_Dal","1108875","","533","20210425162829"
"309","Punk_ideologies","1113966","","26777","20211224133644"
"310","Social_model_of_disability","1117658","","37490","20211129104426"
"311","Modernization_theory","1117836","","42408","20211226204823"
"312","Hul_Jharkhand_Party","1118116","","719","20210814190113"
"313","Legitimating_ideology","1119073","","694","20190221212934"
"314","Voting_bloc","1125761","","1279","20220120215937"
"315","Cookie-cutter_campaign","1127062","","1042","20201026233222"
"316","Democratic_Alternative_(Finland)","1144808","","3221","20211212115937"
"317","Socialist_Workers_Party_(Finland)","1144824","","4438","20211212121605"
"318","Productive_forces","1159588","","17630","20211027092044"
"319","Ruling_clique","1163448","","1166","20150903181449"
"320","Agitators","1165947","","5003","20211217201358"
"321","Leaders'_debate","1166078","","8598","20211206184254"
"322","Multinational_state","1169386","","60932","20220118102545"
"323","Sorry_Everybody","1179086","","2434","20190617132426"
"324","Arguments_for_and_against_drug_prohibition","1181942","","175776","20220116012110"
"325","Political_culture","1183635","","11994","20211109224325"
"326","Wicked_problem","1192971","","33140","20211115073918"
"327","European_Security_Strategy","1203493","","1759","20220116163806"
"328","Cultural_diplomacy","1204525","","48349","20210904210104"
"329","Regional_autonomy","1212240","","985","20211122221317"
"330","Tenant-in-chief","1214936","","10118","20220105024411"
"331","Farewell_speech","1216583","","4058","20211209173534"
"332","Organicism","1217056","","18449","20211128173747"
"333","Biopower","1218279","","31111","20211122095541"
"334","Mandate_(politics)","1221086","","2677","20211229173811"
"335","MediaTransparency","1229191","","1405","20200330145150"
"336","Black_populism","1230380","","8163","20210829021003"
"337","Scandinavism","1230529","","9500","20211221171330"
"338","Limited_government","1234174","","8211","20211230220006"
"339","SULFA","1241164","","1390","20211219115007"
"340","Transit_watchdog","1244101","","822","20210903043042"
"341","Synoecism","1251237","","32038","20211206222916"
"342","United_States_non-interventionism","1257011","","42605","20211126035003"
"343","Salad_bowl_(cultural_idea)","1259992","","3027","20220120203516"
"344","Bulawa","1269277","","4218","20210612115337"
"345","Whiggism","1272591","","14984","20220117120719"
"346","Immigration_and_Naturalization_Service_v._Chadha","1275028","","16952","20210717091006"
"347","Neo-Luddism","1282344","","22665","20211229142908"
"348","Gran_maestro","1283744","","939","20191022065420"
"349","Political_repression","1297768","","11415","20211211212155"
"350","List_of_privatizations_by_country","1302778","","46702","20220115072347"
"351","1973_in_politics","1305995","","1115","20210613181039"
"352","Postfeminism","1306405","","18933","20220111085256"
"353","Winterval","1311866","","12759","20220102030911"
"354","Sino-Albanian_split","1343066","","57671","20211031123311"
"355","Krantikari_Morcha","1351019","","1433","20211105152502"
"356","World_Zionist_Congress","1352983","","31781","20210929041355"
"357","History_of_the_Jews_under_Muslim_rule","1373047","","24479","20211110174137"
"358","List_of_United_States_presidential_vetoes","1390880","","108267","20220116172303"
"359","Social_issues_in_Chinatowns","1392452","","21976","20210809055353"
"360","Hindustan_Janata_Party","1397336","","420","20210721134433"
"361","Maharashtra_Rashtravadi_Congress","1397347","","521","20210414043426"
"362","Janata_Dal_(Gujarat)","1397372","","1977","20211117191245"
"363","Democratic_National_Conference","1403199","","915","20210504032041"
"364","Shiromani_Akali_Dal_(Panthic)","1404660","","1666","20220115222100"
"365","Consociationalism","1409458","","38894","20220107121409"
"366","Bahujan_Samaj_Party_(Kainth)","1411802","","901","20210523145333"
"367","Comparative_politics","1414677","","27706","20211227164936"
"368","Culture_of_capitalism","1414921","","4730","20210702190427"
"369","Strategic_geography","1421312","","2016","20191005155605"
"370","United_Tribal_Nationalist_Liberation_Front","1424719","","606","20210321190403"
"371","List_of_countries_without_political_parties","1425379","","2748","20211220195407"
"372","Interallied_Mission_to_Poland","1434268","","2095","20200520021223"
"373","Meme_hack","1435143","","1712","20220106174808"
"374","Armband","1446987","","6826","20211110213857"
"375","Veritas_(political_party)","1449108","","10733","20211211213521"
"376","Concurrent_majority","1449511","","7076","20220113041629"
"377","Political_psychology","1450022","","48215","20220108105732"
"378","National_language","1458526","","47228","20220120184126"
"379","Historic_Compromise","1459068","","4138","20210817233318"
"380","Objectivist_movement","1459096","","64188","20211214211308"
"381","Opposition_day","1464415","","4709","20220115104319"
"382","Siege_mentality","1471522","","5082","20211122145439"
"383","Bahujan_Vikas_Aaghadi","1477569","","6148","20220101142250"
"384","Maysville_Road_veto","1493026","","9090","20210502153114"
"385","Napoléon_le_Petit","1496324","","1319","20201118155951"
"386","Third_International_Theory","1508860","","30570","20211226114959"
"387","Governing_body","1537542","","2555","20211013083407"
"388","Union_of_European_Federalists","1548275","","14248","20220102152244"
"389","Sultanism","1562914","","3666","20220113133428"
"390","Loneliness","1570429","","95310","20220112202110"
"391","Meta-rights","1580458","","1434","20211011152434"
"392","Political_uniform","1589456","","7033","20220120102539"
"393","Line_Item_Veto_Act_of_1996","1617503","","5970","20211031062517"
"394","Tahdiya","1619545","","1229","20220103121404"
"395","Feminist_separatism","1623371","","32804","20220107015811"
"396","Procedural_democracy","1632348","","2849","20210829223214"
"397","Delegate_model_of_representation","1643771","","3391","20211228074411"
"398","Heckler's_veto","1648538","","9747","20220117211938"
"399","Town_hall_meeting","1676793","","18767","20211213232223"
"400","Political_satire","1678827","","26202","20220120183829"
"401","Komite_internazionalistak","1687588","","1118","20210502132208"
"402","Neomercantilism","1689494","","3045","20211214043101"
"403","First_Family","1689639","","3361","20211114153034"
"404","Revolution_from_above","1698800","","1424","20190827210456"
"405","Politics_in_The_Simpsons","1702234","","29431","20211231054100"
"406","Madman_theory","1709192","","12086","20211231031612"
"407","Action_alert","1710895","","3128","20220113175626"
"408","Islam_Hadhari","1715338","","8374","20211211014218"
"409","Glee_Club_(UK_politics)","1718817","","2077","20211102220009"
"410","Party_political_broadcast","1724338","","4367","20220119053214"
"411","Communist_Workers'_Party_–_For_Peace_and_Socialism","1744188","","10674","20211212001954"
"412","Johnson_cult","1747762","","4670","20220123125632"
"413","Encyclopedia_of_World_Problems_and_Human_Potential","1749638","","47748","20211120042115"
"414","Wayaobu_Manifesto","1750686","","1294","20200421035107"
"415","Central_American_Defense_Council","1762544","","1297","20211229010254"
"416","Tacitean_studies","1766637","","28875","20210907211516"
"417","United_States_–_Russia_mutual_detargeting","1767622","","2633","20210404215945"
"418","Party-line_vote","1778182","","3751","20211227195618"
"419","Compact_theory","1798225","","21172","20211109164853"
"420","Collective_responsibility","1808630","","19803","20220117010622"
"421","Party_secretary","1813649","","712","20220110000329"
"422","Party_of_Labour_Basel_(founded_in_1944)","1814539","","586","20211122224833"
"423","News_leak","1818846","","12106","20211013191839"
"424","Question_authority","1822178","","3967","20220118030816"
"425","History_of_democracy","1827032","","116281","20211231131234"
"426","Political_ideas_in_science_fiction","1830609","","19265","20210903150651"
"427","Statute_of_the_Council_of_Europe","1833929","","4642","20211112095706"
"428","Communist_Party_of_Nepal_(Janamukhi)","1839670","","1189","20210929133736"
"429","Revolutionary_Workers_Party_of_Bangladesh","1840064","","2290","20191229195100"
"430","Shuttleworth_(canvassing)","1843119","","1786","20211214153955"
"431","Communist_Party_–_Red_Star","1844570","","687","20140820202353"
"432","Cartagena_Manifesto","1851046","","4880","20210611132302"
"433","Dog_whistle_(politics)","1853472","","34687","20220123005600"
"434","Hayist_Bases_Movement","1862419","","2262","20211222024524"
"435","Deviationism","1868264","","10180","20210825075803"
"436","Revolutionary_Vanguard_(Politico-Military)","1872891","","473","20191129173212"
"437","Communist_Party_of_Malaya/Marxist–Leninist","1873457","","2061","20201101075039"
"438","Communist_Party_of_Malaya/Revolutionary_Faction","1873480","","2193","20201101075041"
"439","Nancy_Program","1879668","","1131","20200715194008"
"440","Price_of_milk_question","1894547","","2312","20211006142708"
"441","United_Nations_Security_Council_veto_power","1900272","","31622","20220122154644"
"442","New_Public_Management","1906130","","23638","20220111192021"
"443","Political_statement","1921581","","699","20211201085444"
"444","Settlement_movement","1949071","","14683","20211219175554"
"445","Communist_Party_of_Finland_(1994)","1958275","","22991","20211211214127"
"446","Criminalization","1997407","","24263","20210725091300"
"447","Idealism_in_international_relations","2040766","","17511","20210828171505"
"448","Democratic_structuring","2041027","","8089","20190814072811"
"449","Lawspeaker","2064212","","13923","20211126124433"
"450","Ultra-leftism","2075551","","13128","20220103164810"
"451","Social_problem_film","2088249","","42410","20211108233708"
"452","Black_beret","2089573","","23763","20220113071227"
"453","Pensioner","2142843","","2800","20211105092749"
"454","Haldane_principle","2149716","","7195","20201226205857"
"455","East_Turkestan_independence_movement","2150897","","70548","20220121160350"
"456","Campaign_advertising","2188206","","44749","20211103010426"
"457","SWAPO_for_Justice","2193268","","611","20160816171814"
"458","Contentious_politics","2195817","","4807","20211231212414"
"459","Representation_(politics)","2204161","","29240","20211103180135"
"460","National_Progressive_Party_(Namibia)","2226362","","638","20180203104135"
"461","Republican_Party_of_India_(Athawale)","2264389","","6434","20211211191952"
"462","St._Paul's_Church,_Frankfurt_am_Main","2277607","","8064","20211024194353"
"463","Black_Sash","2279059","","8209","20220120233511"
"464","Conservative_liberalism","2300616","","56894","20220121222825"
"465","Oxford_University_Labour_Club","2305833","","21158","20211202020720"
"466","WS-Policy","2311390","","2564","20160617153425"
"467","Coattail_effect","2332430","","12667","20211127102915"
"468","Lawrence_O'Brien_Award","2339772","","7725","20211114211902"
"469","Social_issue","2345894","","41059","20220118142633"
"470","X-file_scandal","2347140","","1738","20220106160647"
"471","Protocol_(politics)","2383828","","1372","20210711194511"
"472","Lockheed_bribery_scandals","2412705","","17852","20220105195819"
"473","Socialist_Movement_of_the_Senegalese_Union","2467252","","913","20201215173212"
"474","Political_entrepreneur","2471964","","5671","20210622022308"
"475","Gaslighting","2484315","","29227","20220122014105"
"476","Byzantinism","2488327","","19832","20210612215436"
"477","Burmese_Way_to_Socialism","2489971","","20535","20220106053744"
"478","Social_dominance_orientation","2504255","","48062","20211108223827"
"479","Carthaginian_peace","2518034","","4748","20220114072614"
"480","Machiavellianism_(politics)","2525856","","18721","20220122172447"
"481","Deference","2536492","","9240","20211216211443"
"482","Four-Stage_Theory_of_the_Republic_of_China","2556089","","12928","20211116185859"
"483","OpenDemocracy","2570604","","6201","20220101172556"
"484","National_Assembly_(Djibouti)","2584439","","5686","20210609213045"
"485","Transitology","2584949","","4164","20211204035700"
"486","List_of_sovereign_states_by_date_of_formation","2594030","","376294","20220118160657"
"487","Canadian_response_to_Hurricane_Katrina","2615377","","13273","20211204040214"
"488","Right-wing_authoritarianism","2616121","","52970","20220123085655"
"489","University_Students'_African_Revolutionary_Front","2619136","","1500","20200912001635"
"490","Neo-prohibitionism","2628519","","4626","20191213144218"
"491","Iroijlaplap","2662409","","1864","20210116004601"
"492","Graft_(politics)","2717335","","2029","20210731101037"
"493","Gadaa","2752697","","14651","20211207070706"
"494","1974_Arab_League_summit","2810447","","2967","20211120213016"
"495","Propertarianism","2838370","","9721","20211202163611"
"496","Security_policy","2842539","","2423","20211229100631"
"497","Blue_Shirts_Society","2846742","","32139","20220102100453"
"498","National_Student/Parent_Mock_Election","2856509","","1157","20200504232526"
"499","Social_alienation","2943008","","47874","20211228185958"
"500","Takis_Fotopoulos","2951290","","30794","20220113215050"
"501","Scottish_Militia_Bill","2953988","","3446","20210314053155"
"502","Dignitas_(Roman_concept)","2955590","","6143","20210318012042"
"503","Inside/outside","2965877","","456","20181007093528"
"504","Global_justice","2969767","","37873","20211111004029"
"505","World_Ecological_Parties","2978451","","1978","20201102140829"
"506","Criminalization_of_politics","2983153","","2279","20210827091148"
"507","Student_fee","2988239","","4315","20191013020338"
"508","Rationality_theorem","2995420","","695","20140328190846"
"509","Political_pensioner","3010656","","2709","20220111160706"
"510","German-Hanoverian_Party_(1953)","3034950","","650","20190628201209"
"511","Global_citizenship","3044408","","41505","20211209084132"
"512","Mass_movement","3075423","","3029","20210430170120"
